epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.1358,1.04604,2.99108,1.22031,0.12184,0.55944,0.19309,0.17401,0.42911,25.4811,0.8171,0.00022134,0.00022134,0.00022134
2,79.4929,0.69337,1.69729,0.97066,0.45435,0.78786,0.66555,0.58587,0.54417,2.81703,0.88116,0.000445367,0.000445367,0.000445367
3,87.9627,0.7136,1.23903,0.96977,0.59945,0.92557,0.91904,0.83793,0.43607,1.24921,0.82956,0.00066487,0.00066487,0.00066487
4,96.2351,0.63024,1.00496,0.95508,0.71131,0.84724,0.91718,0.77803,0.65995,0.85235,0.89226,0.000692794,0.000692794,0.000692794
5,103.732,0.59033,0.83158,0.93714,0.80835,0.93937,0.89257,0.8045,0.4499,0.71467,0.8447,0.000685726,0.000685726,0.000685726
6,111.327,0.58871,0.80071,0.93144,0.8605,0.99722,0.89152,0.81481,0.40934,0.474,0.83087,0.000678657,0.000678657,0.000678657
7,118.738,0.5411,0.77892,0.92508,0.76105,0.9502,0.90206,0.82554,0.44082,0.68537,0.83561,0.000671588,0.000671588,0.000671588
8,126.176,0.55465,0.7505,0.9174,0.88624,0.9735,0.94499,0.88114,0.37151,0.40523,0.8108,0.00066452,0.00066452,0.00066452
9,134.628,0.52715,0.72254,0.91315,0.88543,0.995,0.9298,0.84675,0.42201,0.3915,0.81755,0.000657451,0.000657451,0.000657451
10,142.213,0.51614,0.6877,0.90516,0.88874,0.99722,0.9308,0.85783,0.39595,0.3796,0.81777,0.000650383,0.000650383,0.000650383
11,149.661,0.49558,0.66016,0.89897,0.87031,0.99722,0.92964,0.86888,0.34513,0.37288,0.81152,0.000643314,0.000643314,0.000643314
12,157.352,0.50565,0.65122,0.90417,0.86452,0.98532,0.89037,0.83232,0.34891,0.40861,0.80585,0.000636245,0.000636245,0.000636245
13,164.759,0.50101,0.68362,0.91369,0.89537,0.98611,0.96372,0.8993,0.35425,0.36043,0.8108,0.000629177,0.000629177,0.000629177
14,173.105,0.49366,0.67446,0.90958,0.97936,0.98873,0.9915,0.93408,0.34003,0.28136,0.8027,0.000622108,0.000622108,0.000622108
15,180.807,0.47918,0.58895,0.89452,0.98432,0.98078,0.98901,0.91021,0.39915,0.26002,0.81172,0.00061504,0.00061504,0.00061504
16,188.26,0.46718,0.58372,0.88865,0.98615,0.99692,0.99138,0.93898,0.32317,0.22707,0.79904,0.000607971,0.000607971,0.000607971
17,196.027,0.47207,0.57437,0.89972,0.98613,0.99722,0.99117,0.90548,0.41551,0.26314,0.82071,0.000600902,0.000600902,0.000600902
18,203.469,0.46731,0.53901,0.89949,0.98894,0.99722,0.98957,0.92782,0.34831,0.24274,0.8015,0.000593834,0.000593834,0.000593834
19,211.043,0.46982,0.54443,0.89597,0.97831,0.9892,0.99176,0.92647,0.38119,0.27301,0.80191,0.000586765,0.000586765,0.000586765
20,218.607,0.45041,0.54694,0.89112,0.97863,0.98883,0.98723,0.9282,0.34975,0.23561,0.80244,0.000579697,0.000579697,0.000579697
21,225.707,0.4413,0.5145,0.88416,0.98551,0.98631,0.99116,0.92205,0.37635,0.2385,0.8079,0.000572628,0.000572628,0.000572628
22,233.249,0.44716,0.53715,0.89043,0.98897,0.99722,0.99032,0.92723,0.35638,0.21728,0.80409,0.000565559,0.000565559,0.000565559
23,240.605,0.43766,0.50503,0.8885,0.98683,0.99722,0.98899,0.9214,0.38653,0.22611,0.81637,0.000558491,0.000558491,0.000558491
24,248.113,0.44026,0.5241,0.88522,0.98902,0.99722,0.98824,0.92293,0.37258,0.2083,0.81015,0.000551422,0.000551422,0.000551422
25,255.854,0.43738,0.52516,0.88897,0.9848,0.99722,0.99083,0.92919,0.35492,0.22136,0.80672,0.000544354,0.000544354,0.000544354
26,263.488,0.43406,0.5209,0.89414,0.98857,0.99722,0.99082,0.93035,0.37517,0.2147,0.80313,0.000537285,0.000537285,0.000537285
27,271.233,0.43435,0.50437,0.88701,0.98965,0.99722,0.98971,0.93081,0.32328,0.19956,0.79809,0.000530216,0.000530216,0.000530216
28,278.671,0.42565,0.44966,0.87989,0.98945,0.99722,0.98933,0.93459,0.32963,0.1945,0.79904,0.000523148,0.000523148,0.000523148
29,286.129,0.41321,0.45863,0.88136,0.98811,0.99722,0.98915,0.93794,0.31324,0.18896,0.79516,0.000516079,0.000516079,0.000516079
30,293.782,0.41948,0.46648,0.87899,0.98827,0.99722,0.98965,0.93562,0.32834,0.19809,0.80001,0.000509011,0.000509011,0.000509011
31,301.476,0.41721,0.45377,0.8748,0.98881,0.99722,0.99102,0.94687,0.31643,0.19932,0.7948,0.000501942,0.000501942,0.000501942
32,309.825,0.41573,0.46637,0.87755,0.99029,0.99722,0.99147,0.93922,0.33177,0.19838,0.80071,0.000494873,0.000494873,0.000494873
33,317.569,0.41828,0.48546,0.87838,0.98563,0.99722,0.98978,0.93668,0.3244,0.18871,0.80059,0.000487805,0.000487805,0.000487805
34,325.059,0.41614,0.46238,0.88023,0.98779,0.99722,0.99066,0.94034,0.32175,0.18965,0.79669,0.000480736,0.000480736,0.000480736
35,332.645,0.40073,0.46806,0.88418,0.98955,0.99722,0.99098,0.9365,0.34755,0.19069,0.80812,0.000473668,0.000473668,0.000473668
36,339.859,0.41282,0.47326,0.87994,0.98922,0.99722,0.99061,0.9431,0.31637,0.18006,0.79768,0.000466599,0.000466599,0.000466599
37,347.624,0.40685,0.43951,0.87785,0.98817,0.99722,0.98859,0.93742,0.3164,0.18676,0.79198,0.00045953,0.00045953,0.00045953
38,355.118,0.39512,0.44953,0.87493,0.98827,0.99722,0.99049,0.92984,0.35312,0.19851,0.80694,0.000452462,0.000452462,0.000452462
39,362.381,0.40007,0.45785,0.87054,0.98977,0.99722,0.99138,0.93855,0.32086,0.18626,0.79781,0.000445393,0.000445393,0.000445393
40,369.996,0.39651,0.45819,0.87437,0.99002,0.99722,0.98859,0.93134,0.34942,0.19724,0.81426,0.000438325,0.000438325,0.000438325
41,377.496,0.4119,0.47847,0.87248,0.98907,0.99722,0.99049,0.94236,0.32322,0.17712,0.79242,0.000431256,0.000431256,0.000431256
42,385.019,0.39466,0.42756,0.86907,0.98976,0.99722,0.99068,0.93565,0.33871,0.20495,0.80596,0.000424187,0.000424187,0.000424187
43,392.658,0.39686,0.44049,0.87362,0.98902,0.99722,0.98903,0.93685,0.33031,0.18289,0.79677,0.000417119,0.000417119,0.000417119
44,400.207,0.37932,0.43289,0.86742,0.98986,0.99722,0.99061,0.94505,0.30682,0.17294,0.79608,0.00041005,0.00041005,0.00041005
45,407.592,0.38908,0.42837,0.86729,0.98953,0.99722,0.98873,0.94222,0.29724,0.1641,0.7879,0.000402982,0.000402982,0.000402982
46,415.018,0.38467,0.41074,0.86819,0.99003,0.99722,0.99112,0.93351,0.33616,0.17453,0.80206,0.000395913,0.000395913,0.000395913
47,422.642,0.40041,0.42771,0.87325,0.98939,0.99722,0.98933,0.93345,0.32905,0.17772,0.7995,0.000388844,0.000388844,0.000388844
48,430.232,0.38823,0.43276,0.87295,0.98859,0.99722,0.98904,0.93679,0.3298,0.17487,0.79969,0.000381776,0.000381776,0.000381776
49,437.587,0.37788,0.42349,0.87453,0.98946,0.99722,0.99186,0.94589,0.31622,0.17898,0.79316,0.000374707,0.000374707,0.000374707
50,445.067,0.38138,0.41776,0.86071,0.9902,0.99722,0.98873,0.94316,0.30338,0.18238,0.79465,0.000367639,0.000367639,0.000367639
51,452.599,0.37244,0.41993,0.86375,0.98858,0.99722,0.99128,0.94565,0.30292,0.16929,0.79468,0.00036057,0.00036057,0.00036057
52,459.984,0.37064,0.412,0.86245,0.98959,0.99722,0.99075,0.93855,0.32094,0.16699,0.80215,0.000353501,0.000353501,0.000353501
53,467.556,0.37748,0.40818,0.86444,0.98967,0.99722,0.99101,0.94464,0.29726,0.16909,0.79485,0.000346433,0.000346433,0.000346433
54,474.985,0.37701,0.4159,0.86255,0.98995,0.99722,0.98736,0.93745,0.30587,0.16914,0.79065,0.000339364,0.000339364,0.000339364
55,482.557,0.3836,0.44265,0.87103,0.98934,0.99722,0.98957,0.92739,0.35853,0.19229,0.8049,0.000332296,0.000332296,0.000332296
56,490.157,0.39115,0.42108,0.86991,0.99037,0.99722,0.99121,0.93766,0.32241,0.16917,0.79869,0.000325227,0.000325227,0.000325227
57,497.512,0.3757,0.42067,0.87079,0.98829,0.99722,0.99003,0.93603,0.3216,0.17434,0.79459,0.000318158,0.000318158,0.000318158
58,505.062,0.3643,0.41905,0.86361,0.98942,0.99722,0.99176,0.94518,0.29662,0.16478,0.79151,0.00031109,0.00031109,0.00031109
59,512.585,0.36189,0.38752,0.86833,0.98916,0.99722,0.98984,0.93829,0.32482,0.17065,0.80071,0.000304021,0.000304021,0.000304021
60,520.136,0.36245,0.39387,0.85816,0.98936,0.99722,0.9908,0.9456,0.30938,0.16203,0.79795,0.000296953,0.000296953,0.000296953
61,527.738,0.36056,0.40052,0.86112,0.98983,0.99722,0.99184,0.95131,0.28854,0.15833,0.79119,0.000289884,0.000289884,0.000289884
62,535.929,0.36816,0.40338,0.86749,0.98955,0.99722,0.99176,0.94947,0.30212,0.15932,0.79193,0.000282815,0.000282815,0.000282815
63,543.243,0.36501,0.40172,0.87131,0.98975,0.99722,0.99004,0.94199,0.3079,0.16149,0.79344,0.000275747,0.000275747,0.000275747
64,550.884,0.36742,0.41649,0.87077,0.98873,0.99722,0.99096,0.94425,0.30778,0.16602,0.79543,0.000268678,0.000268678,0.000268678
65,558.179,0.37269,0.43444,0.87336,0.9893,0.99722,0.99132,0.94078,0.33616,0.17387,0.79917,0.00026161,0.00026161,0.00026161
66,565.719,0.36593,0.41224,0.86808,0.99005,0.99722,0.99111,0.94623,0.29891,0.16159,0.79183,0.000254541,0.000254541,0.000254541
67,573.276,0.35723,0.38672,0.8585,0.98976,0.99722,0.98928,0.94767,0.29904,0.16104,0.79205,0.000247472,0.000247472,0.000247472
68,580.741,0.35247,0.38947,0.86832,0.98895,0.99722,0.99251,0.94715,0.30596,0.15966,0.79358,0.000240404,0.000240404,0.000240404
69,588.212,0.3598,0.39392,0.86102,0.98904,0.99722,0.99122,0.94803,0.29113,0.16136,0.78947,0.000233335,0.000233335,0.000233335
70,595.691,0.35627,0.41477,0.86741,0.98961,0.99722,0.9922,0.94653,0.29959,0.15942,0.79313,0.000226267,0.000226267,0.000226267
71,603.344,0.3575,0.40613,0.86912,0.98829,0.99722,0.99246,0.94886,0.28798,0.15544,0.78662,0.000219198,0.000219198,0.000219198
72,610.722,0.35021,0.39179,0.86187,0.98984,0.99722,0.99249,0.94709,0.28987,0.15702,0.78973,0.000212129,0.000212129,0.000212129
